湖北大学,37,"[(114.32936, 30.57727), (114.329361, 30.577271), (114.329361, 30.577271), (114.32936, 30.57727), (114.32936, 30.57727), (114.329361, 30.577271), (114.329361, 30.577271), (114.329361, 30.577271), (114.32936, 30.57727), (114.329361, 30.577271), (114.329361, 30.577271), (114.329361, 30.577271), (114.32936, 30.57727), (114.329361, 30.577271), (114.32936, 30.57727), (114.32936, 30.57727), (114.329361, 30.577271), (114.329361, 30.577271), (114.329361, 30.577271), (114.32936, 30.57727), (114.329361, 30.577271), (114.32936, 30.57727), (114.32936, 30.57727), (114.32936, 30.57727), (114.32936, 30.57727), (114.329361, 30.577271), (114.32936, 30.57727), (114.32936, 30.57727), (114.32936, 30.57727), (114.32936, 30.57727), (114.32936, 30.57727), (114.329361, 30.577271), (114.32936, 30.57727), (114.329361, 30.577271), (114.32936, 30.57727), (114.32936, 30.57727), (114.33618, 30.561059)]"
武汉大学梅园小操场,1,"[(114.364059, 30.53882)]"
中国光谷创业产业园,1,"[(114.41072293, 30.48422607)]"
旅行路上穿什么,1,"[(114.138, 30.488001)]"
天河国际机场2号航站楼机...,16,"[(114.215843, 30.770535), (114.215843, 30.770535), (114.21584453, 30.77053365), (114.21584453, 30.77053365), (114.215843, 30.770535), (114.215843, 30.770535), (114.21584453, 30.77053365), (114.21584453, 30.77053365), (114.215843, 30.770535), (114.215843, 30.770535), (114.21584453, 30.77053365), (114.215843, 30.770535), (114.215843, 30.770535), (114.215843, 30.770535), (114.21584453, 30.77053365), (114.215843, 30.770535)]"
天下路,4,"[(114.38739, 30.47436), (114.38688, 30.4743), (114.38742, 30.47484), (114.387802, 30.473801)]"
112省道,12,"[(114.80527, 30.6393), (114.665001, 30.5849), (114.668297, 30.590799), (114.668297, 30.590799), (114.66035, 30.58646), (114.75622, 30.62494), (114.743301, 30.615299), (114.665604, 30.591801), (114.83849, 30.64228), (114.6633, 30.5942), (114.786384, 30.626783), (114.75792, 30.62929)]"
宝裕路,6,"[(114.262703, 30.5758), (114.262123, 30.575902), (114.26216, 30.57622), (114.262802, 30.5748), (114.262802, 30.575305), (114.26227, 30.57612)]"
云林街,25,"[(114.27619, 30.59709), (114.2789, 30.595301), (114.27518, 30.59546), (114.279197, 30.59436), (114.276398, 30.5956), (114.276497, 30.596201), (114.278472, 30.593906), (114.27621, 30.59659), (114.27616, 30.59715), (114.275398, 30.5954), (114.2798, 30.594481), (114.276398, 30.5963), (114.278503, 30.5956), (114.275803, 30.5963), (114.278259, 30.59292), (114.27636, 30.59613), (114.27745, 30.59606), (114.27849, 30.5935), (114.276527, 30.59712), (114.27704, 30.59629), (114.276588, 30.595138), (114.27605, 30.5961), (114.27584, 30.59682), (114.276398, 30.5961), (114.276398, 30.5961)]"
万千世界 不离壹刻,1,"[(114.074532, 30.418961)]"
三五醇酒店,8,"[(114.271111, 30.60026), (114.271111, 30.60026), (114.271111, 30.60026), (114.271111, 30.60026), (114.27111, 30.60026), (114.271111, 30.60026), (114.271111, 30.60026), (114.27111, 30.60026)]"
莲溪寺路,1,"[(114.324371, 30.520531)]"
欧洲花园,1,"[(114.34877, 30.58927)]"
汉新大道,1,"[(114.24867, 30.51663)]"
冒牌火锅菜,1,"[(114.298599, 30.592461)]"
台塑王品牛排汉街万达店,3,"[(114.337807, 30.556284), (114.337807, 30.556284), (114.337807, 30.556284)]"
百盛街,2,"[(114.38409, 30.87439), (114.3834, 30.877399)]"
新世界中心A座,1,"[(114.266617, 30.57893)]"
芊芊,1,"[(114.08657, 30.32708)]"
红旗欣居,1,"[(114.304526, 30.497668)]"
Happy27GDay,1,"[(114.29047, 30.58678)]"
两岸咖啡铁板烧(汉阳铁桥村店),1,"[(114.22734832, 30.557210922)]"
顾客须知,1,"[(114.41456, 30.64479)]"
奥山世纪城,23,"[(114.365, 30.6186), (114.364998, 30.618601), (114.413246, 30.626493), (114.364998, 30.618601), (114.364998, 30.618601), (114.365, 30.6186), (114.364998, 30.618601), (114.345291, 30.583164), (114.364998, 30.618601), (114.365, 30.6186), (114.365, 30.6186), (114.364998, 30.618601), (114.413246, 30.626493), (114.364998, 30.618601), (114.365, 30.6186), (114.365, 30.6186), (114.281997, 30.583692), (114.365, 30.6186), (114.365, 30.6186), (114.364998, 30.618601), (114.364998, 30.618601), (114.365, 30.6186), (114.365, 30.6186)]"
积玉桥公交站,2,"[(114.307, 30.55797), (114.306999, 30.55797)]"
武汉市第三医院,1,"[(114.30203, 30.54024)]"
泰国金兰花旋转餐厅,1,"[(114.304337, 30.59059)]"
泰和广场,1,"[(114.270935, 30.574672)]"
汉口江滩(西一号门),11,"[(114.307701, 30.59569), (114.307701, 30.59569), (114.307701, 30.59569), (114.3077, 30.59569), (114.307701, 30.59569), (114.307701, 30.59569), (114.307701, 30.59569), (114.3077, 30.59569), (114.3077, 30.59569), (114.307701, 30.59569), (114.307701, 30.59569)]"
二雅路海景花园,6,"[(114.150452, 30.62887), (114.15045, 30.62887), (114.150452, 30.62887), (114.15045, 30.62887), (114.150452, 30.62887), (114.15045, 30.62887)]"
锦绣龙城(民族大道),21,"[(114.39175, 30.46607), (114.391747, 30.46607), (114.39175, 30.46607), (114.391747, 30.46607), (114.391747, 30.46607), (114.39175, 30.46607), (114.391747, 30.46607), (114.39175, 30.46607), (114.39175, 30.46607), (114.39175, 30.46607), (114.391747, 30.46607), (114.39175, 30.46607), (114.39175, 30.46607), (114.391747, 30.46607), (114.391747, 30.46607), (114.39175, 30.46607), (114.39175, 30.46607), (114.391747, 30.46607), (114.391747, 30.46607), (114.39175, 30.46607), (114.391747, 30.46607)]"
一起跑出趣,1,"[(114.31063, 30.32282)]"
国光大厦,1,"[(114.399727, 30.51252)]"
139乡道,3,"[(114.37523, 31.21639), (114.444397, 31.1378), (114.417099, 31.162201)]"
黄陂广场,28,"[(114.37514573, 30.8798509892), (114.37514573, 30.8798509892), (114.375145, 30.87985), (114.375145, 30.87985), (114.37514573, 30.8798509892), (114.375145, 30.87985), (114.37514573, 30.8798509892), (114.37514573, 30.8798509892), (114.37514573, 30.8798509892), (114.375145, 30.87985), (114.37514573, 30.8798509892), (114.375145, 30.87985), (114.375145, 30.87985), (114.37514573, 30.8798509892), (114.37514573, 30.8798509892), (114.37514573, 30.8798509892), (114.37514573, 30.8798509892), (114.37514573, 30.8798509892), (114.37514573, 30.8798509892), (114.37514573, 30.8798509892), (114.375145, 30.87985), (114.375145, 30.87985), (114.375145, 30.87985), (114.37514573, 30.8798509892), (114.37514573, 30.8798509892), (114.37514573, 30.8798509892), (114.37514573, 30.8798509892), (114.375145, 30.87985)]"
必胜客群光广场店,1,"[(114.355019, 30.525749)]"
三德里,1,"[(114.30003, 30.59214)]"
数码港电子,1,"[(114.23059, 30.585758)]"
武汉益思乐教育中心,1,"[(114.301028, 30.599244)]"
